Id,Area,Location,No_of_Bedrooms,New_or_Resale,Gymnasium,Lift_Available,Car Parking,Maintenance Staff,Security,Childrens Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price
773569,720,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4850000
373029,600,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,4500000
420357,650,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,6700000
181626,650,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,4500000
387728,665,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,5000000
798255,2000,Kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1,17000000
488694,1550,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,1,0,0,12500000
780522,1370,Sector-13 Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,10500000
913182,1356,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,10500000
178249,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,15000000
753337,980,Kharghar,2,0,1,1,1,1,1,0,1,1,0,1,0,1,1,8700000
892213,1000,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,0,0,9000000
753843,1060,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,11000000
595340,1095,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,0,1,10500000
598795,1155,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,9700000
705631,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,10500000
342773,1250,Sector 18 Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,1,0,0,8000000
371754,990,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8500000
991805,1078,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,9300000
550482,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,0,0,0,1,1,9900000
392948,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,8000000
856969,1060,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,9000000
